Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Albania,330948,3583,324403.0,2962.0,115276,1248,1941032,676099,2870928
Andorra,46113,155,45890.0,68.0,594738,1999,249838,3222261,77535
Austria,4952508,19486,4875321.0,57701.0,543111,2137,196305599,21527612,9118782
Belarus,994037,7118,985592.0,1327.0,105272,754,13646641,1445232,9442528
Belgium,4497199,32575,4422026.0,42598.0,384379,2784,35364020,3022586,11699923
Bosnia and Herzegovina,397098,16090,375793.0,5215.0,122704,4972,1850019,571660,3236223
Bulgaria,1248035,37646,1199083.0,11306.0,182617,5509,10475569,1532827,6834151
Channel Islands,90153,199,89515.0,439.0,508282,1122,1252808,7063326,177368
Croatia,1220015,16792,1197906.0,5317.0,301243,4146,5167516,1275948,4049942
Czechia,4059173,40906,4003611.0,14656.0,377512,3804,56039063,5211762,10752421
Denmark,3097088,6968,3082150.0,7970.0,530614,1194,128260192,21974384,5836805
Estonia,598580,2657,524990.0,70933.0,450573,2000,3511494,2643232,1328485
Faeroe Islands,34658,28,,,703444,568,778000,15790862,49269
Finland,1271516,5768,1245356.0,20392.0,228709,1037,11421717,2054436,5559540
France,34701710,154468,34200144.0,347098.0,529076,2355,271490188,4139243,65589328
Germany,32452250,148299,31662500.0,641451.0,384643,1758,122332384,1449955,84369757
Gibraltar,20069,108,16579.0,3382.0,596068,3208,534283,15868692,33669
Greece,4804982,32757,4736092.0,36133.0,465970,3177,92282015,8949180,10311784
Hungary,2058847,47367,1976808.0,34672.0,214313,4931,11394556,1186101,9606732
Iceland,205009,213,,,592364,615,1996384,5768462,346086
Ireland,1659034,7829,1644061.0,7144.0,327974,1548,12659105,2502573,5058435
Isle of Man,38008,116,,,441866,1349,150753,1752595,86017
Italy,22035717,176175,21374603.0,484939.0,365632,2923,243853373,4046185,60267473
Latvia,905904,5957,889576.0,10371.0,492167,3236,7564542,4109728,1840643
Liechtenstein,19285,86,19064.0,135.0,502646,2242,102174,2663070,38367
Lithuania,1226614,9295,1199730.0,17589.0,464744,3522,10130537,3838296,2639332
Luxembourg,288658,1123,283668.0,3867.0,445283,1732,4402293,6790969,648257
Malta,114251,802,112953.0,496.0,257256,1806,2049818,4615522,444114
Moldova,579110,11783,504142.0,63185.0,144292,2936,3216305,801378,4013469
Monaco,14436,57,14334.0,45.0,362258,1430,77770,1951568,39850
Montenegro,277191,2778,273347.0,1066.0,441218,4422,2605894,4147928,628240
Netherlands,8396979,22613,8338069.0,36297.0,487693,1313,21107399,1225908,17217772
North Macedonia,341404,9506,330866.0,1032.0,163885,4563,2120873,1018091,2083187
Norway,1460970,4004,1455522.0,1444.0,264959,726,11002430,1995379,5513956
Poland,6212603,117252,5335955.0,759396.0,164546,3106,37070369,981841,37755994
Portugal,5440953,24909,5350135.0,65909.0,537022,2459,44705367,4412415,10131722
Romania,3239392,66849,3139336.0,33207.0,170879,3526,24809969,1308732,18957254
Russia,20066610,385348,19061006.0,620256.0,137375,2638,273400000,1871689,146071273
San Marino,20486,118,20276.0,92.0,600992,3462,157634,4624461,34087
Serbia,2313346,16809,2236473.0,60064.0,267116,1941,10794244,1246384,8660449
Slovakia,1837223,20402,1813296.0,3525.0,336154,3733,7278951,1331818,5465424
Slovenia,1142670,6792,1115315.0,20563.0,549476,3266,2729086,1312336,2079563
Spain,13367647,113130,13163833.0,90684.0,285668,2418,471036328,10066090,46794371
Sweden,2573548,19974,2533329.0,20245.0,251397,1951,18889790,1845249,10236988
Switzerland,4040280,14157,3969466.0,56657.0,459486,1610,22155821,2519697,8793048
UK,23554519,189026,23266908.0,98585.0,343031,2753,522526476,7609697,68665875
Ukraine,5072533,108885,4933448.0,30200.0,117530,2523,19521252,452304,43159576
